Problem,Category,Expected,Rating,SPC,vampire_status,vampire_time,vampire_correct,z3_status,z3_time,z3_correct
ODRL132-1,IsNoneOf,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.129,✓,CounterSatisfiable,0.123,✓
ODRL133-1,IsNoneOf,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.117,✓,CounterSatisfiable,0.131,✓
ODRL134-1,IsNoneOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.074,✓,Theorem,0.077,✓
ODRL135-1,IsNoneOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.075,✓,Theorem,0.076,✓
ODRL136-1,IsNoneOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.078,✓,Theorem,0.057,✓
ODRL137-1,IsNoneOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.083,✓,Theorem,0.063,✓
ODRL138-1,IsNoneOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.089,✓,Theorem,0.092,✓
ODRL139-1,IsNoneOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.072,✓,Theorem,0.059,✓
ODRL050-1,Language,Theorem,0.0,FOF_THM_EPR,Theorem,0.088,✓,Theorem,0.069,✓
ODRL051-1,Language,Theorem,0.0,FOF_THM_EPR,Theorem,0.071,✓,Theorem,0.060,✓
ODRL052-1,Language,Theorem,0.0,FOF_THM_EPR,Theorem,0.069,✓,Theorem,0.059,✓
ODRL053-1,Language,Theorem,0.0,FOF_THM_EPR,Theorem,0.073,✓,Theorem,0.073,✓
ODRL054-1,Language,Theorem,0.0,FOF_THM_EPR,Theorem,0.068,✓,Theorem,0.077,✓
ODRL080-1,LogicalOr,Theorem,0.0,FOF_THM_EPR,Theorem,0.072,✓,Theorem,0.062,✓
ODRL081-1,LogicalOr,Theorem,0.0,FOF_THM_EPR,Theorem,0.072,✓,Theorem,0.059,✓
ODRL082-1,LogicalOr,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.075,✓,CounterSatisfiable,0.140,✓
ODRL083-1,LogicalOr,Theorem,0.0,FOF_THM_EPR,Theorem,0.089,✓,Theorem,0.126,✓
ODRL084-1,LogicalOr,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.044,✓,CounterSatisfiable,0.216,✓
ODRL085-1,LogicalXone,Theorem,0.0,FOF_THM_EPR,Theorem,0.087,✓,Theorem,0.057,✓
ODRL086-1,LogicalXone,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.045,✓,CounterSatisfiable,0.144,✓
ODRL087-1,LogicalXone,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.990,✓,CounterSatisfiable,0.135,✓
ODRL088-1,LogicalXone,Theorem,0.0,FOF_THM_EPR,Theorem,0.086,✓,Theorem,0.062,✓
ODRL090-1,Neq,Theorem,0.0,FOF_THM_EPR,Theorem,0.077,✓,Theorem,0.075,✓
ODRL091-1,Neq,Theorem,0.0,FOF_THM_EPR,Theorem,0.118,✓,Theorem,0.064,✓
ODRL092-1,Neq,Theorem,0.0,FOF_THM_EPR,Theorem,0.079,✓,Theorem,0.064,✓
ODRL093-1,Neq,Theorem,0.0,FOF_THM_EPR,Theorem,0.083,✓,Theorem,0.086,✓
ODRL094-1,Neq,Theorem,0.0,FOF_THM_EPR,Theorem,0.078,✓,Theorem,0.071,✓
ODRL095-1,Neq,Theorem,0.0,FOF_THM_EPR,Theorem,0.093,✓,Theorem,0.083,✓
ODRL096-1,Neq,Theorem,0.0,FOF_THM_EPR,Theorem,0.195,✓,Theorem,0.172,✓
ODRL140-1,Nominal,Theorem,0.0,FOF_THM_EPR,Theorem,0.079,✓,Theorem,0.074,✓
ODRL141-1,Nominal,Theorem,0.0,FOF_THM_EPR,Theorem,0.081,✓,Theorem,0.057,✓
ODRL142-1,Nominal,Theorem,0.0,FOF_THM_EPR,Theorem,0.131,✓,Theorem,0.057,✓
ODRL143-1,Nominal,Theorem,0.0,FOF_THM_EPR,Theorem,0.084,✓,Theorem,0.056,✓
ODRL144-1,Nominal,Theorem,0.0,FOF_THM_EPR,Theorem,0.080,✓,Theorem,0.061,✓
ODRL145-1,Nominal,Theorem,0.0,FOF_THM_EPR,Theorem,0.076,✓,Theorem,0.059,✓
ODRL146-1,Nominal,Theorem,0.0,FOF_THM_EPR,Theorem,0.078,✓,Theorem,0.074,✓
ODRL147-1,Nominal,Theorem,0.0,FOF_THM_EPR,Theorem,0.078,✓,Theorem,0.066,✓
ODRL150-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.082,✓,Theorem,0.098,✓
ODRL151-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.081,✓,Theorem,0.091,✓
ODRL152-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.087,✓,Theorem,0.066,✓
ODRL153-1,OperatorPairs,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.122,✓,CounterSatisfiable,0.155,✓
ODRL154-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.083,✓,Theorem,0.076,✓
ODRL155-1,OperatorPairs,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.017,✓,CounterSatisfiable,0.077,✓
ODRL156-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.071,✓,Theorem,0.073,✓
ODRL157-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.065,✓,Theorem,0.089,✓
ODRL158-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.278,✓,Theorem,0.275,✓
ODRL159-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.066,✓,Theorem,0.143,✓
ODRL160-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.067,✓,Theorem,0.158,✓
ODRL161-1,OperatorPairs,Theorem,0.0,FOF_THM_EPR,Theorem,0.171,✓,Theorem,0.104,✓
ODRL020-1,Purpose,Theorem,0.0,FOF_THM_EPR,Theorem,0.070,✓,Theorem,0.083,✓
ODRL021-1,Purpose,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.055,✓,CounterSatisfiable,0.118,✓
ODRL022-1,Purpose,Theorem,0.0,FOF_THM_EPR,Theorem,0.074,✓,Theorem,0.071,✓
ODRL023-1,Purpose,Theorem,0.0,FOF_THM_EPR,Theorem,0.067,✓,Theorem,0.060,✓
ODRL024-1,Purpose,Theorem,0.0,FOF_THM_EPR,Theorem,0.068,✓,Theorem,0.071,✓
ODRL025-1,Purpose,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.005,✓,CounterSatisfiable,0.143,✓
ODRL026-1,Purpose,Theorem,0.0,FOF_THM_EPR,Theorem,0.065,✓,Theorem,0.069,✓
ODRL027-1,Purpose,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.106,✓,CounterSatisfiable,0.139,✓
ODRL028-1,Purpose,Theorem,0.0,FOF_THM_EPR,Theorem,0.069,✓,Theorem,0.084,✓
ODRL029-1,Purpose,Theorem,0.0,FOF_THM_EPR,Theorem,0.067,✓,Theorem,0.085,✓
ODRL070-1,Runtime,Theorem,0.0,FOF_THM_EPR,Theorem,0.067,✓,Theorem,0.068,✓
ODRL071-1,Runtime,Theorem,0.0,FOF_THM_EPR,Theorem,0.065,✓,Theorem,0.059,✓
ODRL072-1,Runtime,Theorem,0.0,FOF_THM_EPR,Theorem,0.075,✓,Theorem,0.058,✓
ODRL073-1,Runtime,Theorem,0.0,FOF_THM_EPR,Theorem,0.070,✓,Theorem,0.055,✓
ODRL074-1,Runtime,Theorem,0.0,FOF_THM_EPR,Theorem,0.067,✓,Theorem,0.057,✓
ODRL075-1,Runtime,Theorem,0.0,FOF_THM_EPR,Theorem,0.066,✓,Theorem,0.057,✓
ODRL300-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.070,✓,Unknown,0.047,✗
ODRL301-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.183,✓,Unknown,0.046,✗
ODRL302-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.099,✓,Unknown,0.046,✗
ODRL303-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.218,✓,Unknown,0.048,✗
ODRL304-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.444,✓,Unknown,0.048,✗
ODRL305-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.473,✓,Unknown,0.052,✗
ODRL306-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.075,✓,Unknown,0.054,✗
ODRL307-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.084,✓,Unknown,0.046,✗
ODRL308-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.080,✓,Unknown,0.052,✗
ODRL309-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.071,✓,Unknown,0.050,✗
ODRL310-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.245,✓,Unknown,0.047,✗
ODRL311-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.084,✓,Unknown,0.046,✗
ODRL312-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.170,✓,Unknown,0.048,✗
ODRL313-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.067,✓,Unknown,0.054,✗
ODRL314-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.199,✓,Unknown,0.052,✗
ODRL315-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.089,✓,Unknown,0.085,✗
ODRL316-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.289,✓,Unknown,0.092,✗
ODRL317-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.232,✓,Unknown,0.075,✗
ODRL318-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.067,✓,Unknown,0.059,✗
ODRL319-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.067,✓,Unknown,0.059,✗
ODRL320-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.066,✓,Unknown,0.060,✗
ODRL321-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.063,✓,Unknown,0.057,✗
ODRL322-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.065,✓,Unknown,0.056,✗
ODRL323-1,Scaled,Theorem,0.5,FOF_THM_EPR,Theorem,0.067,✓,Unknown,0.056,✗
ODRL010-1,Spatial,Theorem,0.0,FOF_THM_EPR,Theorem,0.065,✓,Theorem,0.081,✓
ODRL011-1,Spatial,Theorem,0.0,FOF_THM_EPR,Theorem,0.064,✓,Theorem,0.063,✓
ODRL012-1,Spatial,Theorem,0.0,FOF_THM_EPR,Theorem,0.068,✓,Theorem,0.071,✓
ODRL013-1,Spatial,Theorem,0.0,FOF_THM_EPR,Theorem,0.079,✓,Theorem,0.065,✓
ODRL014-1,Spatial,Theorem,0.0,FOF_THM_EPR,Theorem,0.078,✓,Theorem,0.067,✓
ODRL015-1,Spatial,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.035,✓,CounterSatisfiable,0.069,✓
