Problem,Category,Clauses,Literals,Predicates,Constants,Variables,MaxTermDepth,IsEPR,SPC
ODRL033-1,CrossDataspace,17,21,6,55,40,1,True,FOF_CSA_EPR
ODRL055-1,CrossDataspace,7,24,4,54,45,1,True,FOF_CSA_EPR
ODRL056-1,CrossDataspace,3,8,5,25,31,1,True,FOF_THM_EPR
ODRL100-1,HasPart,3,9,4,13,29,1,True,FOF_THM_EPR
ODRL101-1,HasPart,3,9,4,13,28,1,True,FOF_THM_EPR
ODRL102-1,HasPart,3,9,4,14,28,1,True,FOF_THM_EPR
ODRL103-1,HasPart,3,9,4,15,28,1,True,FOF_THM_EPR
ODRL104-1,HasPart,3,9,4,16,29,1,True,FOF_THM_EPR
ODRL105-1,HasPart,3,9,4,13,29,1,True,FOF_THM_EPR
ODRL106-1,HasPart,3,9,4,14,28,1,True,FOF_THM_EPR
ODRL120-1,IsAllOf,4,13,7,21,31,1,True,FOF_THM_EPR
ODRL121-1,IsAllOf,4,13,7,22,29,1,True,FOF_CSA_EPR
ODRL122-1,IsAllOf,4,13,7,21,31,1,True,FOF_THM_EPR
ODRL123-1,IsAllOf,4,13,7,21,31,1,True,FOF_CSA_EPR
ODRL124-1,IsAllOf,4,13,7,19,32,1,True,FOF_THM_EPR
ODRL125-1,IsAllOf,4,13,7,22,33,1,True,FOF_CSA_EPR
ODRL126-1,IsAllOf,4,13,7,21,32,1,True,FOF_THM_EPR
ODRL127-1,IsAllOf,4,13,7,20,30,1,True,FOF_THM_EPR
ODRL128-1,IsAllOf,5,16,7,23,30,1,True,FOF_CSA_EPR
ODRL110-1,IsAnyOf,3,10,4,16,28,1,True,FOF_THM_EPR
ODRL111-1,IsAnyOf,4,12,6,22,29,1,True,FOF_THM_EPR
ODRL112-1,IsAnyOf,3,10,4,17,29,1,True,FOF_CSA_EPR
ODRL113-1,IsAnyOf,3,10,4,17,29,1,True,FOF_THM_EPR
ODRL114-1,IsAnyOf,3,10,4,14,28,1,True,FOF_THM_EPR
ODRL115-1,IsAnyOf,3,10,4,14,29,1,True,FOF_CSA_EPR
ODRL116-1,IsAnyOf,3,10,4,19,29,1,True,FOF_THM_EPR
ODRL117-1,IsAnyOf,5,15,6,20,30,1,True,FOF_CSA_EPR
ODRL118-1,IsAnyOf,3,11,4,15,28,1,True,FOF_THM_EPR
ODRL130-1,IsNoneOf,4,11,7,20,30,1,True,FOF_THM_EPR
ODRL131-1,IsNoneOf,3,9,4,15,28,1,True,FOF_THM_EPR
ODRL132-1,IsNoneOf,4,11,7,20,30,1,True,FOF_CSA_EPR
ODRL133-1,IsNoneOf,4,13,7,21,31,1,True,FOF_CSA_EPR
ODRL134-1,IsNoneOf,3,9,4,13,29,1,True,FOF_THM_EPR
ODRL135-1,IsNoneOf,3,9,4,14,28,1,True,FOF_THM_EPR
ODRL136-1,IsNoneOf,4,11,7,18,29,1,True,FOF_THM_EPR
ODRL137-1,IsNoneOf,4,13,6,19,29,1,True,FOF_THM_EPR
ODRL138-1,IsNoneOf,5,13,7,21,30,1,True,FOF_THM_EPR
ODRL139-1,IsNoneOf,3,9,4,14,29,1,True,FOF_THM_EPR
ODRL050-1,Language,3,8,5,22,35,1,True,FOF_THM_EPR
ODRL051-1,Language,3,8,5,23,31,1,True,FOF_THM_EPR
ODRL052-1,Language,7,11,6,30,32,1,True,FOF_THM_EPR
ODRL053-1,Language,3,8,6,22,30,1,True,FOF_THM_EPR
ODRL054-1,Language,6,9,4,24,32,1,True,FOF_THM_EPR
ODRL080-1,LogicalOr,4,13,6,22,25,1,True,FOF_THM_EPR
ODRL081-1,LogicalOr,4,13,5,23,24,1,True,FOF_THM_EPR
ODRL082-1,LogicalOr,4,13,5,22,26,1,True,FOF_CSA_EPR
ODRL083-1,LogicalOr,6,21,5,27,32,1,True,FOF_THM_EPR
ODRL084-1,LogicalOr,6,21,5,29,31,1,True,FOF_CSA_EPR
ODRL085-1,LogicalXone,4,15,8,23,26,1,True,FOF_THM_EPR
ODRL086-1,LogicalXone,4,15,5,36,32,1,True,FOF_CSA_EPR
ODRL087-1,LogicalXone,4,15,5,34,28,1,True,FOF_CSA_EPR
ODRL088-1,LogicalXone,4,15,6,20,24,1,True,FOF_THM_EPR
ODRL090-1,Neq,3,9,4,15,30,1,True,FOF_THM_EPR
ODRL091-1,Neq,3,9,4,13,28,1,True,FOF_THM_EPR
ODRL092-1,Neq,3,9,4,13,29,1,True,FOF_THM_EPR
ODRL093-1,Neq,3,9,4,13,29,1,True,FOF_THM_EPR
ODRL094-1,Neq,3,9,4,16,29,1,True,FOF_THM_EPR
ODRL095-1,Neq,3,9,4,14,29,1,True,FOF_THM_EPR
ODRL096-1,Neq,3,9,4,14,29,1,True,FOF_THM_EPR
ODRL140-1,Nominal,3,9,4,11,30,1,True,FOF_THM_EPR
ODRL141-1,Nominal,3,9,4,12,29,1,True,FOF_THM_EPR
ODRL142-1,Nominal,3,9,4,11,30,1,True,FOF_THM_EPR
ODRL143-1,Nominal,3,9,4,13,29,1,True,FOF_THM_EPR
ODRL144-1,Nominal,4,12,5,19,30,1,True,FOF_THM_EPR
ODRL145-1,Nominal,3,10,4,13,30,1,True,FOF_THM_EPR
ODRL146-1,Nominal,5,14,5,20,31,1,True,FOF_THM_EPR
ODRL147-1,Nominal,3,9,4,12,29,1,True,FOF_THM_EPR
ODRL150-1,OperatorPairs,3,9,4,14,28,1,True,FOF_THM_EPR
ODRL151-1,OperatorPairs,3,9,4,16,30,1,True,FOF_THM_EPR
ODRL152-1,OperatorPairs,3,9,4,14,28,1,True,FOF_THM_EPR
ODRL153-1,OperatorPairs,5,16,7,24,31,1,True,FOF_CSA_EPR
ODRL154-1,OperatorPairs,5,13,7,20,29,1,True,FOF_THM_EPR
ODRL155-1,OperatorPairs,3,9,4,13,29,1,True,FOF_CSA_EPR
ODRL156-1,OperatorPairs,3,9,4,14,29,1,True,FOF_THM_EPR
ODRL157-1,OperatorPairs,5,16,7,20,29,1,True,FOF_THM_EPR
ODRL158-1,OperatorPairs,3,9,4,14,28,1,True,FOF_THM_EPR
ODRL159-1,OperatorPairs,3,10,4,17,29,1,True,FOF_THM_EPR
ODRL160-1,OperatorPairs,3,9,4,15,28,1,True,FOF_THM_EPR
ODRL161-1,OperatorPairs,4,13,7,19,30,1,True,FOF_THM_EPR
ODRL020-1,Purpose,9,11,7,29,31,1,True,FOF_THM_EPR
ODRL021-1,Purpose,9,11,6,31,33,1,True,FOF_CSA_EPR
ODRL022-1,Purpose,9,11,5,31,31,1,True,FOF_THM_EPR
ODRL023-1,Purpose,9,11,5,30,29,1,True,FOF_THM_EPR
ODRL024-1,Purpose,10,12,6,28,29,1,True,FOF_THM_EPR
ODRL025-1,Purpose,10,12,6,34,33,1,True,FOF_CSA_EPR
ODRL026-1,Purpose,11,15,10,44,34,1,True,FOF_THM_EPR
ODRL027-1,Purpose,11,15,9,38,35,1,True,FOF_CSA_EPR
ODRL028-1,Purpose,10,14,11,37,32,1,True,FOF_THM_EPR
ODRL029-1,Purpose,9,11,8,39,31,1,True,FOF_THM_EPR
ODRL070-1,Runtime,3,8,6,44,39,1,True,FOF_THM_EPR
ODRL071-1,Runtime,2,4,7,47,38,1,True,FOF_THM_EPR
ODRL072-1,Runtime,3,8,5,31,36,1,True,FOF_THM_EPR
ODRL073-1,Runtime,3,26,8,62,40,1,True,FOF_THM_EPR
ODRL074-1,Runtime,3,8,5,31,35,1,True,FOF_THM_EPR
ODRL075-1,Runtime,2,4,5,27,33,1,True,FOF_THM_EPR
ODRL300-1,Scaled,657,689,4,683,27,1,True,FOF_THM_EPR
ODRL301-1,Scaled,657,701,4,683,27,1,True,FOF_THM_EPR
ODRL302-1,Scaled,3882,3959,4,3938,27,1,True,FOF_THM_EPR
ODRL303-1,Scaled,3882,3986,4,3938,27,1,True,FOF_THM_EPR
ODRL304-1,Scaled,15257,15409,4,15363,27,1,True,FOF_THM_EPR
ODRL305-1,Scaled,15257,15461,4,15363,27,1,True,FOF_THM_EPR
ODRL306-1,Scaled,115,128,4,130,28,1,True,FOF_THM_EPR
ODRL307-1,Scaled,115,128,4,130,28,1,True,FOF_THM_EPR
ODRL308-1,Scaled,425,448,4,450,28,1,True,FOF_THM_EPR
ODRL309-1,Scaled,425,448,4,450,28,1,True,FOF_THM_EPR
ODRL310-1,Scaled,2555,2608,4,2610,28,1,True,FOF_THM_EPR
ODRL311-1,Scaled,2555,2608,4,2610,28,1,True,FOF_THM_EPR
ODRL312-1,Scaled,182,204,4,198,27,1,True,FOF_THM_EPR
ODRL313-1,Scaled,182,209,4,198,27,1,True,FOF_THM_EPR
ODRL314-1,Scaled,1432,1494,4,1468,27,1,True,FOF_THM_EPR
ODRL315-1,Scaled,1432,1509,4,1468,27,1,True,FOF_THM_EPR
ODRL316-1,Scaled,3882,3984,4,3938,27,1,True,FOF_THM_EPR
ODRL317-1,Scaled,3882,4009,4,3938,27,1,True,FOF_THM_EPR
ODRL318-1,Scaled,56,65,10,61,33,1,True,FOF_THM_EPR
ODRL319-1,Scaled,56,61,10,61,33,1,True,FOF_THM_EPR
ODRL320-1,Scaled,111,130,20,116,38,1,True,FOF_THM_EPR
ODRL321-1,Scaled,111,121,20,116,38,1,True,FOF_THM_EPR
ODRL322-1,Scaled,221,260,40,226,48,1,True,FOF_THM_EPR
ODRL323-1,Scaled,221,241,40,226,48,1,True,FOF_THM_EPR
ODRL010-1,Spatial,1,2,2,21,24,1,True,FOF_THM_EPR
ODRL011-1,Spatial,1,2,2,15,24,1,True,FOF_THM_EPR
ODRL012-1,Spatial,11,13,10,33,34,1,True,FOF_THM_EPR
ODRL013-1,Spatial,11,13,8,35,32,1,True,FOF_THM_EPR
ODRL014-1,Spatial,9,11,6,32,32,1,True,FOF_THM_EPR
ODRL015-1,Spatial,9,11,7,37,36,1,True,FOF_CSA_EPR
