problem,prover,kind,verdict,relation,expected,raw,actual,wall_s,rc,passed,diag
ODRL429-1,z3,smt,Compatible,conflict,sat,sat,sat,0.013,0,Y,
ODRL429-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.004,0,Y,
ODRL430-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.011,0,Y,
ODRL430-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL430-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL430-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL430-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL430-1,z3,smt,Compatible,conflict,sat,sat,sat,0.011,0,Y,
ODRL430-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.004,0,Y,
ODRL431-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.011,0,Y,
ODRL431-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL431-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL431-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL431-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL431-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.010,0,Y,
ODRL431-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.005,0,Y,
ODRL432-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL432-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL432-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL432-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL432-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL432-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.010,0,Y,
ODRL432-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL433-1,vampire-casc,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL433-1,vampire-discount,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL433-1,vampire-lrs,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL433-1,vampire-otter,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.010,0,Y,
ODRL433-1,eprover,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL433-1,z3,smt,Compatible,subsumption,unsat,unsat,unsat,0.010,0,Y,
ODRL433-1,cvc5,smt,Compatible,subsumption,unsat,unsat,unsat,0.004,0,Y,
ODRL434-1,vampire-casc,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL434-1,vampire-discount,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL434-1,vampire-lrs,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL434-1,vampire-otter,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL434-1,eprover,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL434-1,z3,smt,Conflict,subsumption,sat,sat,sat,0.009,0,Y,
ODRL434-1,cvc5,smt,Conflict,subsumption,sat,sat,sat,0.005,0,Y,
ODRL435-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.013,0,Y,
ODRL435-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL435-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL435-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL435-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL435-1,z3,smt,Compatible,conflict,sat,sat,sat,0.010,0,Y,
ODRL435-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.004,0,Y,
ODRL320-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.011,0,Y,
ODRL320-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL320-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL320-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL320-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL320-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.010,0,Y,
ODRL320-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.006,0,Y,
ODRL321-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.014,0,Y,
ODRL321-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL321-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL321-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL321-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL321-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.009,0,Y,
ODRL321-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL322-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.011,0,Y,
ODRL322-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL322-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL322-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL322-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL322-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.013,0,Y,
ODRL322-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL323-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.010,0,Y,
ODRL323-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL323-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL323-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL323-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL323-1,z3,smt,Compatible,conflict,sat,sat,sat,0.009,0,Y,
ODRL323-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.005,0,Y,
ODRL324-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL324-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.009,0,Y,
ODRL324-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL324-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL324-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL324-1,z3,smt,Compatible,conflict,sat,sat,sat,0.009,0,Y,
ODRL324-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.005,0,Y,
ODRL325-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.011,0,Y,
ODRL325-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL325-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL325-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL325-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL325-1,z3,smt,Compatible,conflict,sat,sat,sat,0.012,0,Y,
ODRL325-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.004,0,Y,
ODRL326-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL326-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL326-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL326-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL326-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL326-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.009,0,Y,
ODRL326-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL328-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL328-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL328-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL328-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL328-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL328-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.009,0,Y,
ODRL328-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.005,0,Y,
ODRL327-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.011,0,Y,
ODRL327-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL327-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL327-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL327-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL327-1,z3,smt,Compatible,conflict,sat,sat,sat,0.009,0,Y,
ODRL327-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.005,0,Y,
ODRL329-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL329-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL329-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL329-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL329-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL329-1,z3,smt,Compatible,conflict,sat,sat,sat,0.010,0,Y,
ODRL329-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.005,0,Y,
ODRL330-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL330-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL330-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL330-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL330-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL330-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.009,0,Y,
ODRL330-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL332-1,vampire-casc,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.010,0,Y,
ODRL332-1,vampire-discount,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL332-1,vampire-lrs,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL332-1,vampire-otter,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL332-1,eprover,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL332-1,z3,smt,Conflict,subsumption,sat,sat,sat,0.010,0,Y,
ODRL332-1,cvc5,smt,Conflict,subsumption,sat,sat,sat,0.005,0,Y,
ODRL331-1,vampire-casc,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL331-1,vampire-discount,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL331-1,vampire-lrs,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL331-1,vampire-otter,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.011,0,Y,
ODRL331-1,eprover,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.014,0,Y,
ODRL331-1,z3,smt,Compatible,subsumption,unsat,unsat,unsat,0.010,0,Y,
ODRL331-1,cvc5,smt,Compatible,subsumption,unsat,unsat,unsat,0.004,0,Y,
ODRL334-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL334-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL334-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL334-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL334-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.003,0,Y,
ODRL334-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.009,0,Y,
ODRL334-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.003,0,Y,
ODRL340-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.013,0,Y,
ODRL340-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL340-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL340-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL340-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL340-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.010,0,Y,
ODRL340-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL341-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.013,0,Y,
ODRL341-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL341-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL341-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL341-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL341-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.010,0,Y,
ODRL341-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.005,0,Y,
ODRL342-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.010,0,Y,
ODRL342-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL342-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL342-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL342-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL342-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.009,0,Y,
ODRL342-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL343-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.014,0,Y,
ODRL343-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL343-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL343-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL343-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL343-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.010,0,Y,
ODRL343-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.005,0,Y,
ODRL344-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.013,0,Y,
ODRL344-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL344-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL344-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL344-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL344-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.009,0,Y,
ODRL344-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.005,0,Y,
ODRL345-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.013,0,Y,
ODRL345-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL345-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL345-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL345-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL345-1,z3,smt,Compatible,conflict,sat,sat,sat,0.010,0,Y,
ODRL345-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.004,0,Y,
ODRL346-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL346-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL346-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL346-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL346-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL346-1,z3,smt,Compatible,conflict,sat,sat,sat,0.010,0,Y,
ODRL346-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.004,0,Y,
ODRL348-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.011,0,Y,
ODRL348-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL348-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL348-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL348-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL348-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.009,0,Y,
ODRL348-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL347-1,vampire-casc,fof,Compatible,compatible,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL347-1,vampire-discount,fof,Compatible,compatible,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL347-1,vampire-lrs,fof,Compatible,compatible,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL347-1,vampire-otter,fof,Compatible,compatible,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL347-1,eprover,fof,Compatible,compatible,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL347-1,z3,smt,Compatible,compatible,sat,sat,sat,0.010,0,Y,
ODRL347-1,cvc5,smt,Compatible,compatible,sat,sat,sat,0.004,0,Y,
ODRL350-1,vampire-casc,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.013,0,Y,
ODRL350-1,vampire-discount,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL350-1,vampire-lrs,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL350-1,vampire-otter,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL350-1,eprover,fof,Conflict,subsumption,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL350-1,z3,smt,Conflict,subsumption,sat,sat,sat,0.010,0,Y,
ODRL350-1,cvc5,smt,Conflict,subsumption,sat,sat,sat,0.004,0,Y,
ODRL349-1,vampire-casc,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL349-1,vampire-discount,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL349-1,vampire-lrs,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.009,0,Y,
ODRL349-1,vampire-otter,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL349-1,eprover,fof,Compatible,subsumption,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL349-1,z3,smt,Compatible,subsumption,unsat,unsat,unsat,0.009,0,Y,
