category,file,expected,vampire,vampire_t,pass
MultiHopAlignment,ODRL155-1.p,Theorem,Theorem,0.07,True
MultiHopAlignment,ODRL156-1.p,CounterSatisfiable,Unknown,30.06,True
MultiHopAlignment,ODRL157-1.p,Theorem,Theorem,0.08,True
MultiHopAlignment,ODRL158-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL158-2.p,Theorem,Theorem,0.12,True
MultiHopAlignment,ODRL159-1.p,CounterSatisfiable,Unknown,30.07,True
NWayConflict,ODRL160-1.p,Theorem,Theorem,0.07,True
NWayConflict,ODRL161-1.p,Theorem,Theorem,0.06,True
NWayConflict,ODRL162-1.p,Theorem,Theorem,0.06,True
NWayConflict,ODRL163-1.p,Theorem,Theorem,0.06,True
NWayConflict,ODRL164-1.p,Theorem,Theorem,0.06,True
NWayConflict,ODRL165-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL170-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL171-1.p,Theorem,Unknown,30.07,False
NWayComposed,ODRL172-1.p,Theorem,Theorem,0.07,True
NWayComposed,ODRL173-1.p,Theorem,Unknown,30.11,False
NWayComposed,ODRL174-1.p,Theorem,Theorem,0.07,True
NWayComposed,ODRL175-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL200-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL201-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL202-1.p,Theorem,Unknown,30.09,False
NWayComposed,ODRL203-1.p,Theorem,Theorem,0.11,True
NWayComposed,ODRL204-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL205-1.p,CounterSatisfiable,Theorem,0.06,False
CombinedComplexity,ODRL210-1.p,Theorem,Theorem,0.07,True
CombinedComplexity,ODRL211-1.p,Theorem,Theorem,0.07,True
CombinedComplexity,ODRL212-1.p,Theorem,Theorem,0.06,True
CombinedComplexity,ODRL213-1.p,Theorem,Theorem,0.06,True
CombinedComplexity,ODRL214-1.p,Theorem,Theorem,0.07,True
CombinedComplexity,ODRL215-1.p,Theorem,Unknown,30.10,False
AdversarialOperators,ODRL220-1.p,Theorem,Theorem,0.10,True
AdversarialOperators,ODRL221-1.p,Theorem,Theorem,0.09,True
AdversarialOperators,ODRL222-1.p,Theorem,Unknown,30.18,False
AdversarialOperators,ODRL223-1.p,Theorem,Theorem,0.34,True
AdversarialOperators,ODRL224-1.p,Theorem,Theorem,0.11,True
AdversarialOperators,ODRL225-1.p,Theorem,Theorem,0.11,True
XONESymmetricDiff,ODRL230-1.p,Theorem,Theorem,0.07,True
XONESymmetricDiff,ODRL231-1.p,Theorem,Theorem,0.07,True
XONESymmetricDiff,ODRL232-1.p,Theorem,Theorem,0.09,True
XONESymmetricDiff,ODRL233-1.p,CounterSatisfiable,Unknown,30.08,True
XONESymmetricDiff,ODRL234-1.p,Theorem,Theorem,0.06,True
XONESymmetricDiff,ODRL235-1.p,Theorem,Theorem,0.07,True
XONESymmetricDiff,ODRL236-1.p,Theorem,Theorem,0.06,True
XONESymmetricDiff,ODRL237-1.p,Theorem,Theorem,0.06,True
OperatorMonotonicity,ODRL250-1.p,Theorem,Theorem,0.06,True
OperatorMonotonicity,ODRL251-1.p,Theorem,Theorem,0.06,True
OperatorMonotonicity,ODRL252-1.p,Theorem,Unknown,30.08,False
OperatorMonotonicity,ODRL253-1.p,Theorem,Theorem,0.06,True
OperatorMonotonicity,ODRL254-1.p,Theorem,Theorem,0.06,True
